Plot	TxCode	SoilHet	Seeding	Scale
211	HomUniLg	Hom	Uni	Lg
212	HetAggLg	Het	Agg	Lg
213	HetAggSm	Het	Agg	Sm
221	NonUniLg	Non	Uni	Lg
222	NonAggLg	Non	Agg	Lg
223	HomUniSm	Hom	Uni	Sm
231	HetUniSm	Het	Uni	Sm
232	HomAggLg	Hom	Agg	Lg
233	HomAggSm	Hom	Agg	Sm
241	NonNonNo	Non	Non	No
242	NonNonNo	Non	Non	No
243	HetUniLg	Het	Uni	Lg
311	NonNonNo	Non	Non	No
312	HetUniSm	Het	Uni	Sm
313	NonNonNo	Non	Non	No
321	HomAggLg	Hom	Agg	Lg
322	HetUniLg	Het	Uni	Lg
323	HomAggSm	Hom	Agg	Sm
331	HetAggLg	Het	Agg	Lg
332	HomUniSm	Hom	Uni	Sm
333	NonUniLg	Non	Uni	Lg
341	HetAggSm	Het	Agg	Sm
342	NonAggLg	Non	Agg	Lg
343	HomUniLg	Hom	Uni	Lg
411	HetAggSm	Het	Agg	Sm
412	HomUniLg	Hom	Uni	Lg
413	NonUniLg	Non	Uni	Lg
421	HetUniSm	Het	Uni	Sm
422	HomAggLg	Hom	Agg	Lg
423	HetAggLg	Het	Agg	Lg
431	HomAggSm	Hom	Agg	Sm
432	NonNonNo	Non	Non	No
433	HomUniSm	Hom	Uni	Sm
441	NonAggLg	Non	Agg	Lg
442	NonNonNo	Non	Non	No
443	HetUniLg	Het	Uni	Lg
511	NonUniLg	Non	Uni	Lg
512	HomUniSm	Hom	Uni	Sm
513	NonAggLg	Non	Agg	Lg
521	HetUniLg	Het	Uni	Lg
522	HetAggLg	Het	Agg	Lg
523	HomAggLg	Hom	Agg	Lg
531	HetUniSm	Het	Uni	Sm
532	NonNonNo	Non	Non	No
533	HomUniLg	Hom	Uni	Lg
541	NonNonNo	Non	Non	No
542	HetAggSm	Het	Agg	Sm
543	HomAggSm	Hom	Agg	Sm
611	HomAggSm	Hom	Agg	Sm
612	HetAggSm	Het	Agg	Sm
613	HomUniSm	Hom	Uni	Sm
621	HomAggLg	Hom	Agg	Lg
622	NonNonNo	Non	Non	No
623	HetUniLg	Het	Uni	Lg
631	HetAggLg	Het	Agg	Lg
632	HomUniLg	Hom	Uni	Lg
633	NonUniLg	Non	Uni	Lg
641	NonAggLg	Non	Agg	Lg
642	HetUniSm	Het	Uni	Sm
643	NonNonNo	Non	Non	No
711	HetAggLg	Het	Agg	Lg
712	NonUniLg	Non	Uni	Lg
713	HomUniSm	Hom	Uni	Sm
721	NonNonNo	Non	Non	No
722	HomUniLg	Hom	Uni	Lg
723	NonNonNo	Non	Non	No
731	HomAggLg	Hom	Agg	Lg
732	HetUniLg	Het	Uni	Lg
733	NonAggLg	Non	Agg	Lg
741	HetUniSm	Het	Uni	Sm
742	HetAggSm	Het	Agg	Sm
743	HomAggSm	Hom	Agg	Sm
811	NonAggLg	Non	Agg	Lg
812	HomAggSm	Hom	Agg	Sm
813	HetUniSm	Het	Uni	Sm
821	NonNonNo	Non	Non	No
822	NonNonNo	Non	Non	No
823	NonUniLg	Non	Uni	Lg
831	HetAggLg	Het	Agg	Lg
832	HetAggSm	Het	Agg	Sm
833	HomUniSm	Hom	Uni	Sm
841	HetUniLg	Het	Uni	Lg
842	HomUniLg	Hom	Uni	Lg
843	HomAggLg	Hom	Agg	Lg
911	NonNonNo	Non	Non	No
912	HetAggSm	Het	Agg	Sm
913	HetUniSm	Het	Uni	Sm
921	HomUniLg	Hom	Uni	Lg
922	NonNonNo	Non	Non	No
923	NonUniLg	Non	Uni	Lg
931	HomAggSm	Hom	Agg	Sm
932	HetAggLg	Het	Agg	Lg
933	HetUniLg	Het	Uni	Lg
941	NonAggLg	Non	Agg	Lg
942	HomAggLg	Hom	Agg	Lg
943	HomUniSm	Hom	Uni	Sm
